id,smarts,sources,hash
EVODEX.2-Em9,[#6:67]-[#8:50]-[#1]>>[#6:67]-[#8:50]-[#6](=[#8])-[#6],"EVODEX.2-P1033,EVODEX.2-P1090,EVODEX.2-P1310,EVODEX.2-P1366,EVODEX.2-P1372,EVODEX.2-P1374,EVODEX.2-P1397,EVODEX.2-P1479,EVODEX.2-P1487,EVODEX.2-P1600,EVODEX.2-P1614,EVODEX.2-P1656,EVODEX.2-P1817,EVODEX.2-P1851,EVODEX.2-P1900,EVODEX.2-P1946,EVODEX.2-P2175,EVODEX.2-P225,EVODEX.2-P2379,EVODEX.2-P2529,EVODEX.2-P2587,EVODEX.2-P261,EVODEX.2-P2871,EVODEX.2-P2894,EVODEX.2-P3039,EVODEX.2-P3041,EVODEX.2-P3061,EVODEX.2-P313,EVODEX.2-P316,EVODEX.2-P3167,EVODEX.2-P3196,EVODEX.2-P3255,EVODEX.2-P3257,EVODEX.2-P3364,EVODEX.2-P3380,EVODEX.2-P3389,EVODEX.2-P3474,EVODEX.2-P3528,EVODEX.2-P3596,EVODEX.2-P3611,EVODEX.2-P3765,EVODEX.2-P3839,EVODEX.2-P3856,EVODEX.2-P3995,EVODEX.2-P4030,EVODEX.2-P4101,EVODEX.2-P4235,EVODEX.2-P526,EVODEX.2-P534,EVODEX.2-P541,EVODEX.2-P592,EVODEX.2-P781,EVODEX.2-P88,EVODEX.2-P887,EVODEX.2-P9",31215936292187085935354989550792638892655628222918569713998180219061139030201
EVODEX.2-Em124,[#6:71]-[#8:70]-[#6](=[#8])-[#6]>>[#6:71]-[#8:70]-[#1],"EVODEX.2-P1000,EVODEX.2-P1069,EVODEX.2-P1073,EVODEX.2-P1119,EVODEX.2-P1121,EVODEX.2-P1151,EVODEX.2-P1156,EVODEX.2-P1180,EVODEX.2-P1214,EVODEX.2-P144,EVODEX.2-P1745,EVODEX.2-P1794,EVODEX.2-P1953,EVODEX.2-P2013,EVODEX.2-P2177,EVODEX.2-P2277,EVODEX.2-P2295,EVODEX.2-P2300,EVODEX.2-P2366,EVODEX.2-P2368,EVODEX.2-P2373,EVODEX.2-P2543,EVODEX.2-P2566,EVODEX.2-P2609,EVODEX.2-P2713,EVODEX.2-P2891,EVODEX.2-P2989,EVODEX.2-P3100,EVODEX.2-P3111,EVODEX.2-P3291,EVODEX.2-P3396,EVODEX.2-P3712,EVODEX.2-P373,EVODEX.2-P3840,EVODEX.2-P3885,EVODEX.2-P3937,EVODEX.2-P3997,EVODEX.2-P4252,EVODEX.2-P4264,EVODEX.2-P539,EVODEX.2-P654,EVODEX.2-P689,EVODEX.2-P719,EVODEX.2-P860,EVODEX.2-P963",29082743957763582669861678912473128062430887236943654446604957471252252091249
EVODEX.2-Em250,[#6:3]-[#6:1](-[#8]-[#6])(-[#6:4])-[#1:102].[#8]-[#15](=[#8])(-[#8:2]-[#1])-[#8]>>[#6:3]-[#6:1](-[#8:2]-[#1])(-[#6:4])-[#1:102],"EVODEX.2-P1084,EVODEX.2-P1086,EVODEX.2-P1118,EVODEX.2-P1485,EVODEX.2-P1593,EVODEX.2-P1661,EVODEX.2-P1716,EVODEX.2-P1929,EVODEX.2-P2070,EVODEX.2-P2164,EVODEX.2-P2279,EVODEX.2-P2402,EVODEX.2-P2411,EVODEX.2-P2424,EVODEX.2-P2468,EVODEX.2-P2540,EVODEX.2-P2647,EVODEX.2-P2694,EVODEX.2-P2818,EVODEX.2-P2886,EVODEX.2-P3001,EVODEX.2-P3099,EVODEX.2-P3137,EVODEX.2-P3161,EVODEX.2-P335,EVODEX.2-P3385,EVODEX.2-P3418,EVODEX.2-P3478,EVODEX.2-P3484,EVODEX.2-P3594,EVODEX.2-P3705,EVODEX.2-P3734,EVODEX.2-P3837,EVODEX.2-P3970,EVODEX.2-P3979,EVODEX.2-P4040,EVODEX.2-P589,EVODEX.2-P627,EVODEX.2-P642,EVODEX.2-P756",57382824286123241348707435300378130466293658819919557302555541137880850541518
EVODEX.2-Em59,[#6:12]-[#7:11](-[#6](=[#8])-[#6])-[#1]>>[#7:11](-[#6:12])(-[#1])-[#1],"EVODEX.2-P1260,EVODEX.2-P133,EVODEX.2-P1497,EVODEX.2-P1926,EVODEX.2-P2205,EVODEX.2-P2207,EVODEX.2-P2230,EVODEX.2-P2293,EVODEX.2-P2314,EVODEX.2-P2362,EVODEX.2-P2764,EVODEX.2-P2791,EVODEX.2-P2938,EVODEX.2-P2940,EVODEX.2-P3101,EVODEX.2-P3235,EVODEX.2-P3303,EVODEX.2-P3486,EVODEX.2-P3571,EVODEX.2-P3733,EVODEX.2-P391,EVODEX.2-P3912,EVODEX.2-P3962,EVODEX.2-P3985,EVODEX.2-P4002,EVODEX.2-P4006,EVODEX.2-P4067,EVODEX.2-P4294,EVODEX.2-P496,EVODEX.2-P556,EVODEX.2-P557,EVODEX.2-P61,EVODEX.2-P611,EVODEX.2-P688,EVODEX.2-P815",112964657775986726577325843846435053441253355507887323218030258603058816686035
EVODEX.2-Em108,[#6:3]-[#6:1](-[#8:89]-[#1])(-[#6:4])-[#1:150]>>[#6:3]-[#6:1](-[#8]-[#6])(-[#6:4])-[#1:150].[#8]-[#15](=[#8])(-[#8:89]-[#1])-[#8],"EVODEX.2-P1076,EVODEX.2-P122,EVODEX.2-P1375,EVODEX.2-P1727,EVODEX.2-P1859,EVODEX.2-P1916,EVODEX.2-P2182,EVODEX.2-P2523,EVODEX.2-P2579,EVODEX.2-P2655,EVODEX.2-P2659,EVODEX.2-P2730,EVODEX.2-P2736,EVODEX.2-P2762,EVODEX.2-P2961,EVODEX.2-P2993,EVODEX.2-P309,EVODEX.2-P3109,EVODEX.2-P3191,EVODEX.2-P3275,EVODEX.2-P3358,EVODEX.2-P3522,EVODEX.2-P3660,EVODEX.2-P3719,EVODEX.2-P3752,EVODEX.2-P3948,EVODEX.2-P3968,EVODEX.2-P3989,EVODEX.2-P4041,EVODEX.2-P4206,EVODEX.2-P4213,EVODEX.2-P4274,EVODEX.2-P500,EVODEX.2-P728,EVODEX.2-P831",95584400283202997690275057126974651032199486321319077408789154105034808781290
EVODEX.2-Em168,[#6:51]-[#6:49](=[#8:52])-[#16]-[#6].[#8:70]-[#15:69](=[#8:71])(-[#8:67]-[#1])-[#8:72].[#8:91]=[#15:68](-[#8:50]-[#1])(-[#8:92])-[#8:93]>>[#6:51]-[#6:49](=[#8:52])-[#8:50]-[#1].[#8:70]-[#15:69](=[#8:71])(-[#8:72])-[#8:67]-[#15:68](=[#8:91])(-[#8:92])-[#8:93],"EVODEX.2-P1036,EVODEX.2-P1103,EVODEX.2-P1295,EVODEX.2-P1555,EVODEX.2-P1568,EVODEX.2-P1582,EVODEX.2-P1829,EVODEX.2-P1881,EVODEX.2-P2009,EVODEX.2-P208,EVODEX.2-P2143,EVODEX.2-P2264,EVODEX.2-P228,EVODEX.2-P2394,EVODEX.2-P244,EVODEX.2-P2498,EVODEX.2-P2499,EVODEX.2-P2507,EVODEX.2-P2893,EVODEX.2-P2937,EVODEX.2-P2963,EVODEX.2-P3207,EVODEX.2-P321,EVODEX.2-P3779,EVODEX.2-P3780,EVODEX.2-P3824,EVODEX.2-P384,EVODEX.2-P3896,EVODEX.2-P392,EVODEX.2-P393,EVODEX.2-P4000,EVODEX.2-P4020,EVODEX.2-P623,EVODEX.2-P721,EVODEX.2-P813",101345340308435213778522182636246614681802162148606944322839215905612955360831
EVODEX.2-Em177,[#6:31]-[#6:1](=[#8:32])-[#8:58]-[#1].[#8:60]-[#15:59](=[#8:61])(-[#8:62])-[#8:49]-[#15:50](=[#8:51])(-[#8:52])-[#8:53]>>[#6]-[#16]-[#6:1](=[#8:32])-[#6:31].[#8:51]=[#15:50](-[#8:49]-[#1])(-[#8:52])-[#8:53].[#8:60]-[#15:59](=[#8:61])(-[#8:58]-[#1])-[#8:62],"EVODEX.2-P1014,EVODEX.2-P1091,EVODEX.2-P1131,EVODEX.2-P1347,EVODEX.2-P1387,EVODEX.2-P1438,EVODEX.2-P1468,EVODEX.2-P1471,EVODEX.2-P1691,EVODEX.2-P1723,EVODEX.2-P1806,EVODEX.2-P1807,EVODEX.2-P1950,EVODEX.2-P2115,EVODEX.2-P2140,EVODEX.2-P223,EVODEX.2-P2332,EVODEX.2-P2337,EVODEX.2-P2748,EVODEX.2-P2749,EVODEX.2-P2777,EVODEX.2-P2792,EVODEX.2-P3116,EVODEX.2-P3120,EVODEX.2-P3279,EVODEX.2-P3315,EVODEX.2-P3760,EVODEX.2-P3949,EVODEX.2-P4037,EVODEX.2-P4078,EVODEX.2-P4080,EVODEX.2-P465,EVODEX.2-P466,EVODEX.2-P504,EVODEX.2-P773",37290270636108062398781321800061503950755360667392640476909831681111496320053
EVODEX.2-Em37,[#7:2](-[#6:11])(-[#1])-[#1].>>[#6]-[#6](=[#8])-[#7:2](-[#6:11])-[#1].,"EVODEX.2-P1004,EVODEX.2-P1186,EVODEX.2-P1211,EVODEX.2-P1335,EVODEX.2-P1492,EVODEX.2-P1641,EVODEX.2-P1642,EVODEX.2-P1938,EVODEX.2-P2056,EVODEX.2-P2135,EVODEX.2-P2184,EVODEX.2-P2503,EVODEX.2-P2510,EVODEX.2-P2877,EVODEX.2-P2991,EVODEX.2-P3399,EVODEX.2-P351,EVODEX.2-P37,EVODEX.2-P3860,EVODEX.2-P3957,EVODEX.2-P408,EVODEX.2-P4123,EVODEX.2-P4285,EVODEX.2-P455,EVODEX.2-P574,EVODEX.2-P752,EVODEX.2-P787,EVODEX.2-P874,EVODEX.2-P885,EVODEX.2-P960",20274906149468687421161210613925219309797621901645010715603491958459940763762
EVODEX.2-Em63,[#6:3]-[#6:1](=[#8:4])-[#7](-[#6])-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#8]-[#1],"EVODEX.2-P1039,EVODEX.2-P1210,EVODEX.2-P138,EVODEX.2-P150,EVODEX.2-P1678,EVODEX.2-P1849,EVODEX.2-P1867,EVODEX.2-P195,EVODEX.2-P2187,EVODEX.2-P2409,EVODEX.2-P2583,EVODEX.2-P269,EVODEX.2-P289,EVODEX.2-P2960,EVODEX.2-P3059,EVODEX.2-P3106,EVODEX.2-P3263,EVODEX.2-P3562,EVODEX.2-P358,EVODEX.2-P3595,EVODEX.2-P3658,EVODEX.2-P3730,EVODEX.2-P3820,EVODEX.2-P3889,EVODEX.2-P3965,EVODEX.2-P4088,EVODEX.2-P4189,EVODEX.2-P478,EVODEX.2-P668,EVODEX.2-P67",91301474198293215645637563557970085297939764445442263132772878002580938613342
EVODEX.2-Em77,[#6:3]-[#6:1](=[#8:4])-[#8]-[#1]>>[#6]-[#7](-[#6:1](=[#8:4])-[#6:3])-[#1],"EVODEX.2-P1030,EVODEX.2-P1096,EVODEX.2-P1160,EVODEX.2-P1189,EVODEX.2-P1244,EVODEX.2-P1336,EVODEX.2-P1403,EVODEX.2-P149,EVODEX.2-P1601,EVODEX.2-P174,EVODEX.2-P1824,EVODEX.2-P1847,EVODEX.2-P2301,EVODEX.2-P2329,EVODEX.2-P2376,EVODEX.2-P2751,EVODEX.2-P2783,EVODEX.2-P3087,EVODEX.2-P3242,EVODEX.2-P3656,EVODEX.2-P3796,EVODEX.2-P3845,EVODEX.2-P3969,EVODEX.2-P4036,EVODEX.2-P4283,EVODEX.2-P452,EVODEX.2-P645,EVODEX.2-P753,EVODEX.2-P83,EVODEX.2-P990",87517083460207283284024329235000052591267119143861413719776771473091666691681
