id,smarts,levin_id
0,[CH3;D1;+0:1][CH;D2;+0:2]=[CH;D2;+0:3][C:4]=[O;D1;H0:5]>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[CH2;D2;+0:3]-[C:4]=[O;D1;H0:5],0f94deda94405d6784354f53c192a2b5
1,[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5],e90495e032398914a2bc30231f78c717
2,[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],0b3c7f7b62406a64fc3ed6b82f0b53b6
3,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[C:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8],593282ac9cb5e1ec3fd083ff8b6bcb5e
4,[O;D1;H0:1]=[C:2]1-[#8:3]-[C:4]-[C;H0;D3;+0:5](-[O;D1;H1:6])=[C;H0;D3;+0:7]-1-[O;D1;H1:8]>>[O;D1;H0:1]=[C:2]1-[#8:3]-[C:4]-[CH;D3;+0:5](-[O;D1;H1:6])-[CH;D3;+0:7]-1-[O;D1;H1:8],4f5920ee796e6e28d607b8c9224f9b3d
5,[O;H0;D1;+0:1]=[CH;D2;+0:2]-[c:3]>>[OH;D1;+0:1]-[CH2;D2;+0:2]-[c:3],754a309c7f0af04f5923718481c8c9fb
6,[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[NH;D2;+0:4]-[C:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[NH2;D1;+0:4]-[C:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8],3164c3358e49b4c6be8b3f7443e313ea
7,[C:4]-[C;H0;D3;+0:3](=[O;D1;H0:5])-[O;H1;D1;+0].[C:1]-[OH;D1;+0:2]>>[C:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C:4])=[O;D1;H0:5],5ea0539be35f3ea3ea2dfb95ade5cf0e
8,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H1;D1;+0].[C:5]-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[C:5],c26b95026cce072d32a26fd2f5cd9ba1
9,[C:1]-[CH;D3;+0:2](-[C:3])-[O;H1;D1;+0].[O;D1;H0:6]=[C:5]-[OH;D1;+0:4]>>[C:1]-[CH;D3;+0:2](-[C:3])-[O;H0;D2;+0:4]-[C:5]=[O;D1;H0:6],909a37158f482487c1fae1d4c86a7ca8
10,[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](-[C:5])=[O;H0;D1;+0:6]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D3;+0:4](-[C:5])-[OH;D1;+0:6],44368c2c56feef92de60b724c5fefc6b
11,[C:1]-[OH;D1;+0:2].[O;D1;H0:4]=[C;H0;D3;+0:3](-[O;H1;D1;+0])-[c:5]>>[C:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[c:5],153277735938cfa8f4acb2de7914752f
12,[C:1]-[CH;D3;+0:2](-[C:3])-[O;H1;D1;+0].[O;D1;H0:6]=[C:5]-[OH;D1;+0:4]>>[C:1]-[CH;D3;+0:2](-[C:3])-[O;H0;D2;+0:4]-[C:5]=[O;D1;H0:6],9a0d6a77d2af1cc292b7f6868d48cda1
13,[C:1]-[C;H0;D4;+0:2](-[C:3])(-[C;D1;H3:4])-[O;H1;D1;+0].[O;D1;H0:7]=[C:6]-[OH;D1;+0:5]>>[C:1]-[C;H0;D4;+0:2](-[C:3])(-[C;D1;H3:4])-[O;H0;D2;+0:5]-[C:6]=[O;D1;H0:7],96f6ac58e8ce5ef331161a03361c6547
14,[C:2]-[OH;D1;+0:1]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[C:2],65bf7618263ef0544bfb3455ab5e0cbc
15,[O;D1;H0:4]=[C:3](-[O;D1;H1:5])-[C:2]-[OH;D1;+0:1]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[C:2]-[C:3](=[O;D1;H0:4])-[O;D1;H1:5],96142370771155ca4de8278bf979a1eb
16,[O;D1;H1:1]-[CH;D3;+0:2](-[CH2;D2;+0:7]-[O;H1;D1;+0])-[CH2;D2;+0:3]-[#8:4]-[#15:5]-[OH;D1;+0:6]>>[O;D1;H1:1]-[CH2;D2;+0:2]-[CH;D3;+0:3]1-[#8:4]-[#15:5]-[O;H0;D2;+0:6]-[CH2;D2;+0:7]-1,df7598a25b667501392800b9644cd3a7
17,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[S;H0;D2;+0:5]-[C:4]>>[C:1]-[CH;D2;+0:2]=[O;D1;H0:3].[C:4]-[SH;D1;+0:5],594323dbd827c858b35dd2c40942936a
18,[C:4]-[S;H0;D2;+0:5]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-C(=O)-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C:4]-[SH;D1;+0:5],e00036c0eb2f074176ae78f16b0dfc24
19,[O;D1;H0:1]=[C;H0;D3;+0:2](-[C:3]-[C:4]-[O;H0;D2;+0:5]-[P;H0;D4;+0](=[O;H0;D1;+0])(-[O;H1;D1;+0])-[O;H1;D1;+0])-[O;H0;D2;+0]-[P;H0;D4;+0:6](=[O;D1;H0:7])(-[O;D1;H1:8])-[O;D1;H1:9]>>[O;D1;H0:1]=[CH;D2;+0:2]-[C:3]-[C:4]-[O;H0;D2;+0:5]-[P;H0;D4;+0:6](=[O;D1;H0:7])(-[O;D1;H1:8])-[O;D1;H1:9],fd3315fb5c7f4c806a3360750a2eaf4f
20,[C:1]-[NH;D2;+0:2]-[C;H1;D2;+0]=[O;H0;D1;+0]>>[C:1]-[NH2;D1;+0:2],99eaf1700cd28ffc98af152c5c7bda97
21,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[C:4]-[CH2;D2;+0:5]-[C;H0;D3;+0:6](=[O;H0;D1;+0])-[C:7]-[C:8](=[O;D1;H0:9])-[OH;D1;+0:10]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[C:4]-[C;H0;D3;+0:5]1=[CH;D2;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[O;H0;D2;+0:10]-1,f9a62a9ebc5c7cee559a7412f9e4b482
22,[C:1]-[CH2;D2;+0:2]-[O;H1;D1;+0].[O;D1;H0:5]=[C:4]-[OH;D1;+0:3]>>[C:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-[C:4]=[O;D1;H0:5],3be6e3e13371d423076130c490e02b98
23,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H1;D1;+0].[OH;D1;+0:4]-[c:5]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[c:5],d6012d3641449db1e0fc69732a19ac9c
24,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH2;D2;+0:4]-[C;H0;D3;+0:5](=[O;H0;D1;+0])[C:6]=[C:7][C:8](=[O;D1;H0:9])-[OH;D1;+0:10]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])[CH;D2;+0:4]=[C;H0;D3;+0:5]1[C:6]=[C:7]-[C:8](=[O;D1;H0:9])-[O;H0;D2;+0:10]-1,f5fa6f0d107d1e5482aafd0cad83971e
25,[OH;D1;+0:1]-[c:2]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[c:2],2582f6277b603312f1b572a6cbee210e
26,[#8:3]-[C:2]-[OH;D1;+0:1]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[C:2]-[#8:3],f0739b8c583ec9afe508b2ff95aa9669
