id,smarts,entry_id,mechanism_id
0,[C&D3&v4&H1&0*&!R&z1:1](-[C&D2&v4&H2&0*&!R&z0:2]-[C&D2&v4&H2&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z2:4])-[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7]>>[C&D3&v4&H1&0*&!R&z1:1](-[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:2]-[C&D3&v4&H0&0*&!R&z2:4])-[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7],"[1, 1, 957, 957]","[1, 1, 1, 1]"
1,[C&D3&v4&H0&0*&R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[N&D3&v3&H0&0*&R:3].[O&D0&v2&H2&0*&!R:4]>>([C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:4].[N&D2&v3&H1&0*&R:3]),"[2, 2, 16, 210, 257, 258]","[2, 1, 1, 1, 1, 1]"
2,[C&D3&v4&H0&0*&R&z0:1]1=[C&D2&v4&H1&0*&R&z1:2]-[N&D3&v3&H0&0*&R:3]-[C&D2&v4&H1&0*&R&z1:4]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:6]-1.[S&D2&v2&H0&0*&!R:7]-[S&D2&v2&H0&0*&!R:8]>>[S&D1&v2&H1&0*&!R:7].[S&D1&v2&H1&0*&!R:8].[c&D3&v4&H0&0*&R&z0:1]1:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:4]:[n&D3&v4&H0&+&R:3]:[c&D2&v4&H1&0*&R&z1:2]:1,"[6, 627]","[1, 1]"
3,[C&D3&v4&H1&0*&!R&z0:1](-[C&D3&v4&H0&0*&!R&z2:2]-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4](-[O&D1&v2&H1&0*&!R:5])~[*:6]~[O&D1&v2&H1&0*&!R:7].[c&D3&v4&H0&0*&R&z0:8]1:[c&D2&v4&H1&0*&R&z0:9]:[c&D2&v4&H1&0*&R&z0:10]:[c&D2&v4&H1&0*&R&z1:11]:[n&D3&v4&H0&+&R:12]:[c&D2&v4&H1&0*&R&z1:13]:1>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z1:4](=[O&D1&v2&H0&0*&!R:5])~[*:6]~[O&D1&v2&H1&0*&!R:7].[C&D3&v4&H0&0*&R&z0:8]1=[C&D2&v4&H1&0*&R&z1:13]-[N&D3&v3&H0&0*&R:12]-[C&D2&v4&H1&0*&R&z1:11]=[C&D2&v4&H1&0*&R&z0:10]-[C&D2&v4&H2&0*&R&z0:9]-1.[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2],"[7, 7, 7]","[2, 1, 3]"
4,[O&D2&v2&H0&0*&R:1]-[C&D3&v4&H1&0*&R&z2:2](-[O&D2&v2&H0&0*&!R:3]~[*:4](~[O&D1&v2&H0&0*&!R:5])(~[O&D1&v2&H1&0*&!R:6])~[*:7]~[*:8](~[O&D1&v2&H0&0*&!R:9])~[O&D1&v2&H1&0*&!R:10])~[*:11]~[O&D1&v2&H1&0*&!R:12].[n&D2&v3&H0&0*&R:13]:[c&D3&v4&H0&0*&R&z1:14]-[C&D3&v4&H0&0*&!R&z2:15]-[O&D1&v2&H1&0*&!R:16]>>[O&D1&v2&H0&0*&!R:16]=[C&D2&v4&H0&0*&!R&z2:15].[O&D1&v2&H0&0*&!R:5]~[*:4](~[O&D1&v2&H1&0*&!R:3])(~[O&D1&v2&H1&0*&!R:6])~[*:7]~[*:8](~[O&D1&v2&H0&0*&!R:9])~[O&D1&v2&H1&0*&!R:10].[n&D3&v4&H0&+&R:13](-[C&D3&v4&H1&0*&R&z2:2](-[O&D2&v2&H0&0*&R:1])~[*:11]~[O&D1&v2&H1&0*&!R:12]):[c&D2&v4&H1&0*&R&z1:14],[8],[2]
5,[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3]-[O&D2&v2&H0&0*&!R:4]~[*:5]~[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7].[O&D0&v2&H2&0*&!R:8].[S&D2&v2&H0&0*&!R:9]>>[*:5](~[O&D1&v2&H1&0*&!R:4])~[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7].[P&D4&v5&H0&0*&!R:3](-[O&D1&v2&H1&0*&!R:2])-[O&D1&v2&H1&0*&!R:8].[S&D3&v3&H0&+&!R:9]-[C&D2&v4&H2&0*&!R&z1:1],[9],[1]
6,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[C&D2&v4&H2&0*&!R&z0:3]-[C&D3&v4&H1&0*&!R&z1:4](-[O&D1&v2&H1&0*&!R:5])-[C&D2&v4&H2&0*&!R&z0:6]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H1&0*&!R&z0:4]=[C&D2&v4&H1&0*&!R&z0:6].[O&D0&v2&H2&0*&!R:5],[10],[1]
7,[C&D3&v4&H0&0*&!R&z3:1](=[O&D1&v2&H0&0*&!R:2])-[O&D2&v2&H0&0*&!R:3].[N&D1&v3&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z3:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:4].[O&D1&v2&H1&0*&!R:3],"[12, 12]","[2, 1]"
8,[C&D3&v4&H0&0*&R&z2:1]-[N&D3&v3&H0&0*&R:2].[O&D0&v2&H2&0*&!R:3]>>([C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:3].[N&D2&v3&H1&0*&R:2]),"[15, 258]","[1, 2]"
9,[C&D3&v4&H0&0*&!R&z3:1](-[N&D1&v3&H2&0*&!R:2])-[N&D2&v3&H1&0*&!R:3].[N&D1&v3&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z3:1](-[N&D1&v3&H2&0*&!R:2])-[N&D2&v3&H1&0*&!R:4].[N&D1&v3&H2&0*&!R:3],[18],[1]
