id,smarts,ni_ids
0,[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]=[#6:7].[#8:8]>>([#6:1].[#6:2]=[#6:3]-[#6:4]-[#8:8].[#6:5]=[#6:6]-[#6:7]),['rule0616']
1,([#6:1]#[#7:2].[#6:3]1-[#6:4]-[#16:5]-1).[#8:6]>>([#6:3]=[#6:4].[#8:6]-[#7:2]=[#6:1]-[#16:5]),['rule0949']
2,[#16:1]-[#16:2].[#8:3]>>[#16:1].[#8:3]-[#16:2],"['rule0554', 'rule0815', 'rule0914']"
3,[#16:1].[#16:2].[#8:3]=[#16:4]-[#16:5]>>[#16:5].[#16:1]-[#16:2].[#8:3]-[#16:4],['rule0967']
4,[#6:1]-[#7:2].[#8:3].[#8:4]=[#8:5]>>[#6:1]=[#8:3].[#7:2].[#8:4]-[#8:5],"['rule0092', 'rule0113']"
5,[#6:1]=[#6:2]-[#6:3]=[#6:4]-[#8:5]>>[#6:1]-[#6:2]=[#6:3]-[#6:4]=[#8:5],['rule0390']
6,[#6:1]-[#8:2].[#6:3]=[#6:4]-[#6:5]-[#8:6].[#6:7]=[#8:8]>>[#6:1]-[#6:7]-[#8:8].[#6:5]=[#6:4]-[#6:3].[#8:2]=[#8:6],['rule0900']
7,[#17:1].[#6:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:2]-[#17:1].[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1,['rule1010']
8,[#6:1].[#6:2]-[#16:3]>>[#16:3].[#6:1]-[#6:2],"['rule0087', 'rule0276', 'rule0350', 'rule1072']"
9,([#6:1]=[#6:2].[#6:3]-[#8:4]).[#8:5]>>[#6:3]-[#6:1]-[#6:2]-[#8:5].[#8:4],['rule0369']
10,([#16:1].[#16:2]).[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#16:1]-[#16:2].[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1,['rule0203']
11,([#6:1].[#6:2]-[#8:3]).[#6:4]1:[#6:5]:[#6:6]:[#6:7]:[#7+:8]:[#6:9]:1>>([#6:2].[#6:1]=[#8:3]).[#6:4]1=[#6:9]-[#7+0:8]-[#6:7]=[#6:6]-[#6:5]-1,['rule0754']
12,([#6:1]=[#6:2].[#6:3]-[#8:4])>>[#6:1]-[#6:2]=[#6:3].[#8:4],['rule0493']
13,[#6:1]-[#6:2]-[#6:3](-[#6:4]-[#6:5](-[#6:6])-[#6:7])-[#6:8]-[#6:9]=[#6:10].[#8:11]>>([#6:1]-[#6:6].[#6:2]=[#6:3](-[#6:4])-[#6:7].[#6:10]-[#6:9]=[#6:8]-[#6:5]-[#8:11]),['rule0534']
14,[#6:1]-[#7:2].[#6:3]1=[#6:4]-[#7:5]-[#6:6]=[#6:7]-[#6:8]-1.[#6:9]=[#8:10]>>[#6:9]-[#7:2].[#6:1]-[#8:10].[#6:3]1:[#6:8]:[#6:7]:[#6:6]:[#7+:5]:[#6:4]:1,['rule0788']
15,[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#8:5]>>([#6:1]=[#6:2].[#6:3]=[#6:4]).[#8:5],['rule0867']
16,([#16:1].[#8:2]=[#6:3]-[#16:4]).[#6:5]>>[#16:1]-[#16:4].[#6:5]-[#6:3]-[#8:2],['rule1131']
17,[#6:1]=[#6:2].[#8:3]>>[#6:1]-[#6:2]-[#8:3],"['rule0020', 'rule0460']"
18,([#6:1]-[#6:2]=[#6:3].[#6:4]-[#6:5]=[#6:6]-[#6:7]-[#8:8])>>[#6:1]=[#6:2]-[#6:3]=[#6:5]-[#6:6](-[#6:4])-[#6:7].[#8:8],['rule0747']
19,[#6:1].[#8:2]-[#8:3]>>[#6:1]-[#8:2].[#8:3],['rule1165']
20,([#6:1]-[#7:2].[#6:3]-[#8:4]).[#7:5].[#8:6]-[#15:7]>>([#6:1]-[#7:5].[#6:3]-[#7:2]).[#8:6].[#8:4]-[#15:7],['rule0643']
21,[#16:1].[#16:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#16:1]-[#16:2].[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1,"['rule0294', 'rule1053']"
22,[#6:1]-[#6:2]-[#6:3]-[#6:4].[#8:5]>>([#6:1].[#6:2]=[#6:3].[#6:4]-[#8:5]),['rule0314']
23,[#6:1]=[#8:2].[#8:3]-[#6:4](-[#8:5])-[#6:6]-[#6:7]-[#8:8]>>([#8:3].[#6:7]=[#8:8]).[#8:5]=[#6:4]-[#6:6]-[#6:1]-[#8:2],['rule0592']
24,([#7:1].[#6:2]=[#8:3])>>[#6:2]=[#7:1].[#8:3],['rule0146']
25,[#8:1]=[#6:2]-[#6:3]=[#6:4]-[#6:5]-[#6:6]-[#8:7]>>[#6:5]=[#6:4]-[#6:3]=[#6:2]-[#8:1].[#6:6]=[#8:7],['rule1052']
26,[#6:1]1:[#6:2]-[#7:3]-[#6:4]:[#6:5]-[#6:6]-1.[#6:7]=[#8:8]>>[#6:7]-[#8:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7:3]:[#6:2]-1,['rule0593']
27,[#6:1]-[#6:2]-[#6:3]-[#16:4]>>[#16:4].[#6:1]=[#6:2]-[#6:3],['rule0626']
28,([#6:1]-[#6:2].[#6:3]-[#6:4]=[#7+:5]).[#16:6]>>([#6:1].[#6:3]=[#6:4]-[#7+0:5]).[#6:2]-[#16+:6],['rule0974']
29,[#6:1]-[#8:2]-[#6:3]>>([#6:1].[#6:3]=[#8:2]),['rule0190']
30,[#6:1]-[#8:2]-[#6:3]=[#6:4].[#8:5]>>[#6:1]-[#6:3](-[#6:4])-[#8:2]-[#8:5],['rule0669']
31,([#6:1]-[#6:2]=[#8:3].[#6:4]-[#6:5]=[#8:6])>>[#6:1]=[#6:2]-[#8:3]-[#6:5]=[#6:4].[#8:6],['rule0911']
32,[#6:1]-[#6:2]=[#8:3].[#6:4]1=[#6:5]-[#7:6]-[#6:7]=[#6:8]-[#6:9]-1.[#7:10]>>[#6:2]-[#6:1]-[#7:10].[#6:4]1:[#6:9]:[#6:8]:[#6:7]:[#7+:6]:[#6:5]:1.[#8:3],['rule1011']
33,[#8:1]-[#6:2]1:[#6:3]:[#6:4]:[#6:5](-[#8:6]):[#6:7]:[#6:8]:1.[#8:9]=[#8:10]>>[#8:10].[#8:1]=[#6:2]1-[#6:3]=[#6:4]-[#6:5](=[#8:6])-[#6:7]2-[#8:9]-[#6:8]-1-2,['rule0917']
34,[#16:1]-[#16:2].[#8:3]-[#8:4]>>[#16:1].[#16:2].[#8:3]=[#8:4],['rule0791']
35,[#16:1].[#6:2]1:[#6:3]:[#6:4]:[#6:5]:[#7+:6]:[#6:7]:1.[#8:8]>>[#6:2]1=[#6:7]-[#7+0:6]-[#6:5]=[#6:4]-[#6:3]-1.[#8:8]=[#16:1],['rule0476']
36,[#6:1]=[#8:2].[#8:3]-[#6:4]1:[#6:5]:[#6:6]:[#6:7](-[#8:8]):[#6:9]:[#6:10]:1>>[#6:1]-[#8:2].[#8:3]=[#6:4]1-[#6:10]=[#6:9]-[#6:7](=[#8:8])-[#6:6]:[#6:5]-1,['rule0355']
37,[#6:1]=[#6:2]-[#8:3]-[#15:4]-[#8:5]>>[#8:5]=[#6:2]-[#6:1]-[#15:4]-[#8:3],['rule0808']
38,[#7:1]-[#6:2]-[#6:3]=[#8:4].[#8:5]>>[#7:1].[#8:5]=[#6:2]-[#6:3]-[#8:4],['rule0938']
39,[#16:1].[#6:2]-[#35:3]>>[#35:3].[#6:2]-[#16:1],['rule0980']
40,[#6:1]1:[#6:2]-[#7:3]-[#6:4]:[#6:5]-[#6:6]-1.[#6:7]=[#7+:8]>>[#6:7]-[#7+0:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7:3]:[#6:2]-1,['rule0702']
41,([#6:1].[#6:2]=[#6:3])>>[#6:1]-[#6:2]-[#6:3],['rule0198']
42,[#8:1].[#8:2]=[#6:3]1-[#6:4]=[#6:5]-[#6:6](=[#8:7])-[#6:8]=[#6:9]-1>>[#8:2]-[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#6:8]:[#6:9]:1.[#8:1]=[#8:7],['rule1203']
43,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#6:7]=[#6:8].[#8:9].[#8:10]>>[#6:7]-[#6:8].[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#8:10]=[#8:9],['rule0322']
44,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#7+:7]-[#8:8].[#8:9]>>[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#7+0:7].[#8:8]=[#8:9],['rule0325']
45,([#8:1].[#6:2]=[#8:3])>>[#8:1]-[#6:2]-[#8:3],['rule0063']
46,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#6:5]:[#6:6]:1.[#6:7]1=[#6:8]-[#7:9]-[#6:10]=[#6:11]-[#6:12]-1>>[#6:11]1:[#6:12]:[#6:7]:[#6:8]:[#7+:9]:[#6:10]:1.[#6:1]1=[#6:2]-[#6:3]-[#6:4]-[#6:5]:[#6:6]-1,['rule0102']
47,([#6:1]-[#7:2].[#6:3]-[#7:4]).[#8:5].[#8:6]-[#15:7]>>([#6:1]-[#7:4].[#6:3]-[#8:6]).[#7:2].[#8:5]-[#15:7],['rule0642']
48,[#6:1]-[#16:2].[#6:3]-[#8:4]>>[#6:3]-[#16:2].[#6:1]-[#8:4],"['rule0079', 'rule0151', 'rule0152']"
49,([#6:1].[#6:2]=[#8:3])>>[#6:1]-[#6:2]-[#8:3],['rule0632']
50,[#6:1]-[#16:2].[#6:3]-[#7:4].[#8:5]>>[#16:2].[#6:1]-[#7:4].[#6:3]-[#8:5],['rule0715']
51,[#6:1]-[#7:2].[#6:3]=[#8:4].[#6:5]=[#8:6]>>[#6:1]=[#8:4].[#7:2]-[#6:3]-[#6:5]-[#8:6],['rule0745']
52,[#6:1]-[#6:2]=[#8:3].[#7:4].[#8:5]>>[#7:4]-[#6:2]-[#6:1]-[#8:5].[#8:3],['rule0782']
53,[#6:1]=[#7:2].[#6:3]=[#8:4]>>[#6:3]=[#7:2].[#6:1]=[#8:4],['rule0805']
54,[#6:1]=[#6:2]-[#6:3]=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-[#6:9]-[#8:10].[#8:11]>>([#8:10].[#6:9]=[#6:8]-[#6:7]=[#6:6]-[#6:5]=[#6:4]-[#6:3]=[#6:2]-[#6:1]-[#8:11]),['rule0987']
55,([#6:1]=[#6:2].[#6:3]=[#6:4]-[#6:5]-[#8:6]).[#8:7]>>[#6:3]-[#6:4]=[#6:5]-[#6:1]-[#6:2]-[#8:7].[#8:6],['rule1195']
56,([#7:1].[#6:2]1:[#6:3]:[#6:4]:[#7:5]:[#6:6]:1).[#6:7]1=[#6:8]-[#7:9]-[#6:10]=[#6:11]-[#6:12]-1.[#8:13]=[#8:14]>>[#6:11]1:[#6:12]:[#6:7]:[#6:8]:[#7+:9]:[#6:10]:1.[#7:1]-[#6:4]1-[#7:5]-[#6:6]:[#6:2]-[#6:3]-1-[#8:13].[#8:14],['rule0921']
57,[#16:1]-[#16:2].[#6:3]1=[#6:4]-[#7:5]-[#6:6]=[#6:7]-[#6:8]-1>>([#16:1].[#16:2]).[#6:3]1:[#6:8]:[#6:7]:[#6:6]:[#7+:5]:[#6:4]:1,['rule0202']
