id,smarts,rc_plus_0_id
0,[C&D2&v4&H2&0*&!R&z0:1]-[C&D2&v4&H1&0*&!R&z1:2]=[O&D1&v2&H0&0*&!R:3].[C&D3&v4&H0&0*&!R&z2:4]-[c&D3&v4&H0&0*&R&z0:5]1:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:7]:[c&D2&v4&H1&0*&R&z1:8]:[n&D3&v4&H0&+&R:9](-[C&D3&v4&H1&0*&R&z2:10]):[c&D2&v4&H1&0*&R&z1:11]:1.[P&D4&v5&H0&0*&!R:12]-[O&D1&v2&H1&0*&!R:13]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[O&D2&v2&H0&0*&!R:13]-[P&D4&v5&H0&0*&!R:12].[C&D3&v4&H0&0*&!R&z2:4]-[C&D3&v4&H0&0*&R&z0:5]1=[C&D2&v4&H1&0*&R&z1:11]-[N&D3&v3&H0&0*&R:9](-[C&D3&v4&H1&0*&R&z2:10])-[C&D2&v4&H1&0*&R&z1:8]=[C&D2&v4&H1&0*&R&z0:7]-[C&D2&v4&H2&0*&R&z0:6]-1,819
1,[C&D3&v4&H1&0*&!R&z1:1]-[C&D3&v4&H1&0*&!R&z1:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4](-[O&D1&v2&H1&0*&!R:5])-[C&D3&v4&H0&0*&!R&z2:6]>>[C&D3&v4&H1&0*&!R&z1:1]-[C&D2&v4&H2&0*&!R&z0:2]-[C&D3&v4&H0&0*&!R&z1:4](=[O&D1&v2&H0&0*&!R:5])-[C&D3&v4&H0&0*&!R&z2:6].[O&D0&v2&H2&0*&!R:3],402
2,[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5].[O&D1&v2&H0&0*&!R:6]=[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:8])(-[O&D1&v2&H1&0*&!R:9])-[O&D2&v2&H0&0*&!R:10]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:8].[P&D4&v5&H0&0*&!R:5]-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:7](=[O&D1&v2&H0&0*&!R:6])(-[O&D1&v2&H1&0*&!R:9])-[O&D2&v2&H0&0*&!R:10],994
3,[C&D3&v4&H1&0*&R&z1:1]-[C&D3&v4&H1&0*&R&z1:2](-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4])-[C&D3&v4&H1&0*&R&z1:5].[O&D0&v2&H2&0*&!R:6]>>[C&D3&v4&H1&0*&R&z1:1]-[C&D3&v4&H1&0*&R&z1:2](-[O&D1&v2&H1&0*&!R:6])-[C&D3&v4&H1&0*&R&z1:5].[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:3],517
4,[C&D2&v4&H2&0*&!R&z0:1]-[C&D2&v4&H1&0*&!R&z1:2]=[O&D1&v2&H0&0*&!R:3].[C&D3&v4&H0&0*&!R&z2:4]-[c&D3&v4&H0&0*&R&z0:5]1:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:7]:[c&D2&v4&H1&0*&R&z1:8]:[n&D3&v4&H0&+&R:9](-[C&D3&v4&H1&0*&R&z2:10]):[c&D2&v4&H1&0*&R&z1:11]:1.[O&D0&v2&H2&0*&!R:12]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:12].[C&D3&v4&H0&0*&!R&z2:4]-[C&D3&v4&H0&0*&R&z0:5]1=[C&D2&v4&H1&0*&R&z1:11]-[N&D3&v3&H0&0*&R:9](-[C&D3&v4&H1&0*&R&z2:10])-[C&D2&v4&H1&0*&R&z1:8]=[C&D2&v4&H1&0*&R&z0:7]-[C&D2&v4&H2&0*&R&z0:6]-1,819
5,[C&D3&v4&H0&0*&!R&z2:1]-[c&D3&v4&H0&0*&R&z0:2]1:[c&D2&v4&H1&0*&R&z0:3]:[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z1:5]:[n&D3&v4&H0&+&R:6](-[C&D3&v4&H1&0*&R&z2:7]):[c&D2&v4&H1&0*&R&z1:8]:1.[C&D3&v4&H1&0*&R&z0:9]-[C&D3&v4&H1&0*&R&z1:10](-[O&D1&v2&H1&0*&!R:11])-[C&D2&v4&H1&0*&R&z0:12]>>[C&D3&v4&H0&0*&!R&z2:1]-[C&D3&v4&H0&0*&R&z0:2]1=[C&D2&v4&H1&0*&R&z1:8]-[N&D3&v3&H0&0*&R:6](-[C&D3&v4&H1&0*&R&z2:7])-[C&D2&v4&H1&0*&R&z1:5]=[C&D2&v4&H1&0*&R&z0:4]-[C&D2&v4&H2&0*&R&z0:3]-1.[C&D3&v4&H1&0*&R&z0:9]-[C&D3&v4&H0&0*&R&z1:10](=[O&D1&v2&H0&0*&!R:11])-[C&D2&v4&H1&0*&R&z0:12],435
6,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D2&v4&H2&0*&!R&z0:4].[O&D1&v2&H0&0*&!R:5]=[P&D4&v5&H0&0*&!R:6](-[O&D1&v2&H1&0*&!R:7])(-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9].[P&D4&v5&H0&0*&!R:10]-[O&D1&v2&H1&0*&!R:11]>>[O&D0&v2&H2&0*&!R:3].[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:7])-[C&D2&v4&H2&0*&!R&z0:4].[P&D4&v5&H0&0*&!R:10]-[O&D2&v2&H0&0*&!R:11]-[P&D4&v5&H0&0*&!R:6](=[O&D1&v2&H0&0*&!R:5])(-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9],607
7,[O&D0&v2&H2&0*&!R:1].[c&D2&v4&H1&0*&R&z0:2]:[c&D3&v4&H0&0*&R&z1:3](-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5]):[c&D2&v4&H1&0*&R&z0:6]>>[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:4].[c&D2&v4&H1&0*&R&z0:2]:[c&D3&v4&H0&0*&R&z1:3](-[O&D1&v2&H1&0*&!R:1]):[c&D2&v4&H1&0*&R&z0:6],517
8,[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z1:2](-[N&D1&v3&H2&0*&!R:3])-[C&D3&v4&H0&0*&!R&z2:4].[C&D2&v4&H2&0*&R&z0:5]-[C&D3&v4&H0&0*&R&z1:6](=[O&D1&v2&H0&0*&!R:7])-[C&D3&v4&H1&0*&R&z1:8]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z1:2](=[O&D1&v2&H0&0*&!R:7])-[C&D3&v4&H0&0*&!R&z2:4].[N&D1&v3&H2&0*&!R:3]-[C&D3&v4&H1&0*&R&z1:6](-[C&D2&v4&H2&0*&R&z0:5])-[C&D3&v4&H1&0*&R&z1:8],103
9,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4])-[C&D3&v4&H1&0*&!R&z1:5]>>[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H1&0*&!R&z1:3]-[C&D3&v4&H1&0*&!R&z1:2](-[O&D1&v2&H1&0*&!R:1])-[C&D3&v4&H1&0*&!R&z1:5],693
