id,smarts,krids
0,[*;D1;H0:1]-[C;H0;D2;+0:2]#[N;H0;D1;+0:3].[OH2;D0;+0:4]>>[*;D1;H0:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:3])=[O;H0;D1;+0:4],['4fc554b86bb64504ce3bb78f4c02accc82779129']
1,[*;D1;H0:1]-[C;H0;D2;+0:2]#[N;H0;D1;+0:3].[OH2;D0;+0:4]>>[*;D1;H0:1]-[CH;D2;+0:2]=[N;H0;D2;+0:3]-[OH;D1;+0:4],['4fe435c487c7b2dc720dff02a9af2d54cebd191a']
2,[C:1]-[SH;D1;+0:2].[C:3]-[SH;D1;+0:4].[O;H0;D1;+0:5]=[O;H0;D1;+0:6]>>[C:1]-[S;H0;D2;+0:2]-[S;H0;D2;+0:4]-[C:3].[OH;D1;+0:5]-[OH;D1;+0:6],['db3a4d53e3f2557babac4615ca5518bb9d455bc2']
3,[C:1]-[S;H0;D2;+0:2]-[S;H0;D2;+0:3]-[C:4].[OH;D1;+0:5]-[OH;D1;+0:6]>>[C:1]-[SH;D1;+0:2].[C:4]-[SH;D1;+0:3].[O;H0;D1;+0:5]=[O;H0;D1;+0:6],['74aa76da460568ccddd08f17f78cd8b59dd61fb8']
4,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[*;D1;H0:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C:15]-[C:16](=[O;D1;H0:17])-[O;D1;H1:18]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[*;D1;H0:12]-[CH;D3;+0:13](-[OH;D1;+0:14])-[C:15]-[C:16](=[O;D1;H0:17])-[O;D1;H1:18],['d31a1334f694b47d6a71cf52dd664ae1ba4f49bd']
5,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8].[NH2;D1;+0:9]-[C:10]-[C:11]=[O;D1;H0:12]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:9]-[C:10]-[C:11]=[O;D1;H0:12].[NH2;D1;+0:4]-[C:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8],['374565644f8e35592c0f7a84b150dbaa1a4e19fb']
6,[C:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C:4])=[O;D1;H0:5].[NH2;D1;+0:6]-[C:7]-[C:8]=[O;D1;H0:9]>>[C:4]-[C;H0;D3;+0:3](=[O;D1;H0:5])-[NH;D2;+0:6]-[C:7]-[C:8]=[O;D1;H0:9].[C:1]-[OH;D1;+0:2],"['2dd222e496256ccf456d89d18fd1cdaf61db2ee8', 'cf5e39ad0c2cb476507093f65829e625fd21ad23', '7570e28b793a119d6e6592df1f0360b58ec64875', '5e6a7e3c52db344014ccd5b917144b17ad51bc7d']"
7,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:4].[NH2;D1;+0:5]-[C:6]-[C:7]=[O;D1;H0:8]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:5]-[C:6]-[C:7]=[O;D1;H0:8].[OH2;D0;+0:4],"['5572e067ee31e5313543d60049e6672e3b41e631', '44198492378f5b709961650e7fd18f6d277ec41a']"
8,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]-[C:6]=[O;D1;H0:7].[C:8]-[OH;D1;+0:9]>>[C:8]-[O;H0;D2;+0:9]-[C;H0;D3;+0:2](-[C:1])=[O;D1;H0:3].[NH2;D1;+0:4]-[C:5]-[C:6]=[O;D1;H0:7],"['027cc7767b49312141d335b06f9ffdf1c507f648', '53afde0bdbb16a6318df4f0f4b7c6784a41d8ae8', '6e59fa2f056245f57abd5c4940e56c63c8533aef']"
9,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]-[C:6]=[O;D1;H0:7].[OH2;D0;+0:8]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:8].[NH2;D1;+0:4]-[C:5]-[C:6]=[O;D1;H0:7],"['bc1fe60c89748d6839101998ecb3c174e8d4d410', '905bc8139c93e1223dfcb610322fa16901c57741']"
10,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]-[C:6]=[O;D1;H0:7].[NH2;D1;+0:8]-[C:9]-[C:10](=[O;D1;H0:11])-[O;D1;H1:12]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:8]-[C:9]-[C:10](=[O;D1;H0:11])-[O;D1;H1:12].[NH2;D1;+0:4]-[C:5]-[C:6]=[O;D1;H0:7],['e491cf39474b1a6acd659f4238ca7fbcb6dbed44']
11,[*;D1;H0:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[CH;D3;+0:8](-[NH2;D1;+0:9])-[C:10](=[O;D1;H0:11])-[O;D1;H1:12]>>[*;D1;H0:1]-[CH;D3;+0:2](-[NH2;D1;+0:9])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[C;H0;D3;+0:8](=[O;H0;D1;+0:3])-[C:10](=[O;D1;H0:11])-[O;D1;H1:12],"['79984d3ea847c550259d03a7f6dfc5fb25adce07', '4c987f6064c54dfbe41d2e082d4a1ce2d090eb3d']"
