id,smarts,retrobiocat_name
0,[#6:3][C:2]#[N:1]>>[#6:3]-[#6:2]-[#8H1],alcohol_nitrilation
1,[#6:1]-[#6:2](=[O:3])-[#8X2:4]-[#6:5]>>[#6:1]-[#6:2](=[O:3])-[#8X2]-[C].[#8X2:4]-[#6:5],alcoholysis_0
2,[#6:5]-[#8X2:4]-[#6:1](=[O:6])-[#8:2]-[#6:3]>>[#6:3]-[#8:2]-[#6:1](=[O:6])-[#8]-[#6].[#6:5]-[#8X2:4],alcoholysis_1
3,[#6:5][#6H2:6]([#7H2;R0:3])>>[#6:5][#6H1:6](=[#8]),aldehyde_amination
4,[#6H3:1]-[#6H2:2]-[#6H2:3]-[#6H2:4]>>[#6:4]-[#6:3]-[#6:2]-[#6:1]-[#6]=[O],aldehyde_decarbonylation
5,[#6:1][#6X2H0:2]#[NX3H0:3]>>[#6:1][#6X3H1:2](=[O]),aldehyde_nitrilation
6,[#6:10]-[#6H0;R0:1](=[OH0:2])[OH1:3]>>[#6:10]-[#6:1]=[O:2],aldehyde_oxidation
7,[#6:1][#6H2:2][#8H1:4]>>[#6:1][#6H1:2]=[#8:4],aldehyde_reduction
8,[#6:1][#6:2]([OH:3])[#6:5]([OH:4])[#6H0:6](=[O:7])[#6H2:8][OH:9]>>[#6:1][#6:2](=[O:3]).[OH:4][#6H2:5][#6H0:6](=[O:7])[#6H2:8][OH:9],"aldol_reaction_(1,3_dihydroxyacetone_(oh))"
9,[#6:1][#6:2]([OH:3])[#6:5]([OH:4])[#6H0:6](=[O:7])[#6H2:8][O:9][P:10](=[O:11])([O:12])[O:13]>>[#6:1][#6:2](=[O:3]).[OH:4][#6:5][#6:6](=[O:7])[#6H2:8][O:9][P:10](=[O:11])([O:12])[O:13],"aldol_reaction_(1,3_dihydroxyacetone)"
10,[#6X4:1]-[#6X4:2](-[OH:3])-[#6X4:4]-[#6X3:5]=[OH0:6]>>[#6X4:1]-[#6X3:2]=[OH0:3].[#6X4:4]-[#6X3:5]=[OH0:6],aldol_reaction_(dera)_0
11,[#6X4:1]-[#6:2](-[OH:3])-[#6X4:4]-[#6H0;R0:5](=[OH0:6])-[#6X4:7]>>[#6X4:1]-[#6H1:2]=[OH0:3].[#6X4:4]-[#6H0;R0:5](=[OH0:6])-[#6X4:7],aldol_reaction_(dera)_1
12,[#6X4:1]-[#6:2](-[OH:3])-[#6H1R1:4]-[#6H0:5](=[O:6])-[#6:7]>>[#6X4:1]-[#6H1:2]=[O:3].[#6H2;R1:4]-[#6H0:5](=[O:6])-[#6:7],aldol_reaction_(dera)_2
13,[#6X4;z1:2]([OH:3])[#6H2:4][#6H0:5](=[O:6])[#6H0:7](=[O:8])[OH:9]>>[#6X4;z1:2](=[O:3]).[#6H3:4][#6H0:5](=[O:6])[#6H0:7](=[O:8])[OH:9],aldol_reaction_(pyruvate)
14,[#6:1][#6:2]([OH:3])[#6:5]([NH2:4])[#6H0:6](=[O:7])[OH:8]>>[#6:1][#6:2](=[O:3]).[NH2:4][#6H2:5][#6H0:6](=[O:7])[OH:8],aldol_reaction_(threonine_aldolase)
15,[#6:1][C:2]#[N:3]>>[#6:1]\[#6H1:2]=[#7:3]/[#8],aldoxime_dehydration
16,[#6:1]-[#6X4:2]-1-[OH0:5]-[#6z1:3]-1>>[#6:1]-[#6:2]=[#6:3],alkene_oxidation
17,[#6:1][#6H0;R0:2](=[O:3])-[NX3:5]>>[#6:1][#6H0;R0:2](=[O:3])[OH].[Nh1X3:5],amidation
18,[#6:1][#6;H0:2](=[OH0:3])[OH:4]>>[#6:1][#6:2](=[O:3])[NH][#6X4],amide_hydrolysis_(cooh)
19,[#6X4:5][NH2:6]>>[#6][#6](=[O])[NH:6][#6X4:5],amide_hydrolysis_(nh)
20,[c:6]1[c:7][c:2](-[OH:1])[c:3][c:4][c:5]1-[#6:8]-[#6h1:9](-[NH2:20])-[#6:11](=[O:12])-[OH:13]>>[c:6]1[c:7][c:2](-[O:1])[c:3][c:4][c:5]1.[#6:8]-[#6H0:9](=[O])-[#6:11](=[O:12])-[OH:13],amination_(tpl)
21,[#6:1][#6H1:2]=[NX2:3]>>[#6:1][#6H2:2][N:3],amine_oxidation_0
22,[#6:1][#6H0:2]([#6:4])=[NX2:3]>>[#6:1][#6@@H1:2]([#6:4])[N:3],amine_oxidation_1
23,[#6:3]-[#6:2](=[O:6])-[#6:1](-[#8H1:4])=[O:5]>>[#6:3]-[#6@@H:2](-[NH2])-[#6:1](-[#8H:4])=[O:5],amino_acid_oxidation_0
24,[#6:3]-[#6:2](=[O:6])-[#6:1](-[#8H1:4])=[O:5]>>[#6:3]-[#6@H:2](-[NH2])-[#6:1](-[#8H:4])=[O:5],amino_acid_oxidation_1
25,[#6:1][#6H0;R0:2](=[O:3])-[NX3:5]>>[#6:1][#6H0;R0:2](=[O:3])[O]-[#6].[Nh1X3:5],aminolysis_0
26,[#6:5]-[#7H1:4]-[#6:1](=[O:6])-[#8:2]-[#6:3]>>[#6:3]-[#8:2]-[#6:1](=[O:6])-[#8]-[#6].[#6:5]-[#7:4],aminolysis_1
27,[#6:1]-[#6H1:2](-[NH1;R0:10])-[#6H2:3]-[#6:4]=[O:5]>>[#6:1]-[#6H1:2]=[#6H1:3]-[#6:4]=[O:5].[NH2;R0:10],aza_micheal_addition_0
28,[#6:1]-[#6:2](-[NH1;R0:10])-[#6:3]-[#6:4]-[N:5](-[O:6])-[O:7]>>[#6:1]-[#6:2]=[#6:3]-[#6:4]-[N:5](-[O:6])-[O:7].[NH2;R0:10],aza_micheal_addition_1
29,[#6:1][#6:2]([NH1;R0:10])[#6:3][#6:4]#[N:6]>>[#6:1][#6:2]=[#6:3][#6:4]#[N:6].[NH2;R0:10],aza_micheal_addition_2
30,[#6:10]-[#6:9](=[O:11])-[c:2]1[cH1:3][c:4][c:5](-[#8H1:8])[cH1:6][c:1]1-[#8H1:7]>>[#8:7]-[c:1]1[c:2][c:3][c:4][c:5](-[#8:8])[c:6]1.[#6]-[#8]-[#6:9](-[#6:10])=[O:11],c_acylation_0
31,[#6:10]-[#6:9](=[O:11])-[c:2]1[cH1:3][c:4][c:5](-[#8H1:8])[cH1:6][c:1]1-[#8H1:7]>>[#8:7]-[c:1]1[c:2][c:3][c:4][c:5](-[#8:8])[c:6]1.[#6]-[#16]-[#6:9](-[#6:10])=[O:11],c_acylation_1
32,[#6:8]-[#6:7](=[O:9])-[c:1]1[cH1:6][c:5][c:4](-[#8H1:11])[cH1:3][c:2]1-[#8H1:10]>>[#8:10]-[c:2]1[c:1][c:6][c:5][c:4](-[#8:11])[c:3]1.[#6]-[#6](=[O])-[c]1[c](-[#8])[c][c](-[#8])[c](-[#6:7](-[#6:8])=[O:9])[c]1-[#8],c_acylation_2
33,[#6:1]-[#6h1:2](-[#6H3:8])-[#6:3](=[O:4])-[#6:5](-[#8H1:7])=[O:6]>>[#6:1]-[#6:2]-[#6:3](=[O:4])-[#6:5](-[#8H1:7])=[O:6],c_methylation
34,[#8:10]-[#6:8](=[O:9])-[c:6]1[c:5][c:4][c:3][c:2][c:1]1-[#8H1:7]>>[#8:7]-[c:1]1[cH1:6][c:5][c:4][c:3][c:2]1,carboxylation_0
